           1   12.0000000       14.9113083       14.7941990      0.117109299       1.39904022E-02
           2   12.0000000       14.7941990       14.7816982       1.25007629E-02   1.48963928E-03
           3   12.0000000       14.7816982       14.7803679       1.33037567E-03   1.59263611E-04
           4   12.0000000       14.7803679       14.7802248       1.43051147E-04   1.62124634E-05
           5   12.0000000       14.7802248       14.7802105       1.43051147E-05   1.90734863E-06
           6   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
           7   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
           8   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
           9   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
          10   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
          11   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
          12   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
          13   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
          14   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
          15   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
          16   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
          17   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
          18   14.7802105       14.7802248       14.7802105       0.00000000       1.90734863E-06
