   0.00000     1.00   286.1781
   0.00167     1.00   286.1737
   0.00333     1.00   286.1475
   0.00500     1.00   286.0250
   0.00667     1.00   285.4557
   0.00833     1.00   282.8103
   0.01000     1.00   270.5204

   0.00000     2.00   302.3441
   0.00167     2.00   302.3223
   0.00333     2.00   302.2071
   0.00500     2.00   301.7439
   0.00667     2.00   299.9577
   0.00833     2.00   293.3670
   0.01000     2.00   270.6840

   0.00000     3.00   318.4821
   0.00167     3.00   318.4203
   0.00333     3.00   318.1206
   0.00500     3.00   317.0550
   0.00667     3.00   313.4998
   0.00833     3.00   302.3938
   0.01000     3.00   270.8180

   0.00000     4.00   334.5706
   0.00167     4.00   334.4378
   0.00333     4.00   333.8365
   0.00500     4.00   331.9037
   0.00667     4.00   326.1585
   0.00833     4.00   310.3349
   0.01000     4.00   270.9357

   0.00000     5.00   350.5837
   0.00167     5.00   350.3432
   0.00333     5.00   349.3137
   0.00500     5.00   346.2698
   0.00667     5.00   338.0328
   0.00833     5.00   317.4734
   0.01000     5.00   271.0414

   0.00000     6.00   366.4940
   0.00167     6.00   366.1063
   0.00333     6.00   364.5223
   0.00500     6.00   360.1553
   0.00667     6.00   349.2200
   0.00833     6.00   323.9961
   0.01000     6.00   271.1380

   0.00000     7.00   382.2737
   0.00167     7.00   381.6993
   0.00333     7.00   379.4419
   0.00500     7.00   373.5749
   0.00667     7.00   359.8066
   0.00833     7.00   330.0313
   0.01000     7.00   271.2274

   0.00000     8.00   397.8966
   0.00167     8.00   397.0979
   0.00333     8.00   394.0600
   0.00500     8.00   386.5500
   0.00667     8.00   369.8667
   0.00833     8.00   335.6702
   0.01000     8.00   271.3108

   0.00000     9.00   413.3388
   0.00167     9.00   412.2815
   0.00333     9.00   408.3700
   0.00500     9.00   399.1045
   0.00667     9.00   379.4626
   0.00833     9.00   340.9792
   0.01000     9.00   271.3894

   0.00000    10.00   428.5791
   0.00167    10.00   427.2332
   0.00333    10.00   422.3693
   0.00500    10.00   411.2628
   0.00667    10.00   388.6462
   0.00833    10.00   346.0085
   0.01000    10.00   271.4638

   0.00000    11.00   443.5997
   0.00167    11.00   441.9393
   0.00333    11.00   436.0586
   0.00500    11.00   423.0482
   0.00667    11.00   397.4607
   0.00833    11.00   350.7964
   0.01000    11.00   271.5346

   0.00000    12.00   458.3856
   0.00167    12.00   456.3895
   0.00333    12.00   449.4405
   0.00500    12.00   434.4823
   0.00667    12.00   405.9424
   0.00833    12.00   355.3732
   0.01000    12.00   271.6023

   0.00000    13.00   472.9248
   0.00167    13.00   470.5758
   0.00333    13.00   462.5190
   0.00500    13.00   445.5852
   0.00667    13.00   414.1215
   0.00833    13.00   359.7629
   0.01000    13.00   271.6673

   0.00000    14.00   487.2080
   0.00167    14.00   484.4927
   0.00333    14.00   475.2992
   0.00500    14.00   456.3746
   0.00667    14.00   422.0236
   0.00833    14.00   363.9849
   0.01000    14.00   271.7297

   0.00000    15.00   501.2282
   0.00167    15.00   498.1368
   0.00333    15.00   487.7863
   0.00500    15.00   466.8668
   0.00667    15.00   429.6702
   0.00833    15.00   368.0553
   0.01000    15.00   271.7899

   0.00000    16.00   514.9807
   0.00167    16.00   511.5061
   0.00333    16.00   499.9864
   0.00500    16.00   477.0762
   0.00667    16.00   437.0799
   0.00833    16.00   371.9873
   0.01000    16.00   271.8481

   0.00000    17.00   528.4622
   0.00167    17.00   524.6002
   0.00333    17.00   511.9054
   0.00500    17.00   487.0158
   0.00667    17.00   444.2684
   0.00833    17.00   375.7918
   0.01000    17.00   271.9043

   0.00000    18.00   541.6714
   0.00167    18.00   537.4196
   0.00333    18.00   523.5494
   0.00500    18.00   496.6975
   0.00667    18.00   451.2494
   0.00833    18.00   379.4784
   0.01000    18.00   271.9588

   0.00000    19.00   554.6078
   0.00167    19.00   549.9660
   0.00333    19.00   534.9244
   0.00500    19.00   506.1316
   0.00667    19.00   458.0347
   0.00833    19.00   383.0549
   0.01000    19.00   272.0117

   0.00000    20.00   567.2724
   0.00167    20.00   562.2416
   0.00333    20.00   546.0364
   0.00500    20.00   515.3279
   0.00667    20.00   464.6346
   0.00833    20.00   386.5283
   0.01000    20.00   272.0631

   0.00000    21.00   579.6667
   0.00167    21.00   574.2494
   0.00333    21.00   556.8916
   0.00500    21.00   524.2951
   0.00667    21.00   471.0583
   0.00833    21.00   389.9043
   0.01000    21.00   272.1130

   0.00000    22.00   591.7933
   0.00167    22.00   585.9929
   0.00333    22.00   567.4956
   0.00500    22.00   533.0411
   0.00667    22.00   477.3139
   0.00833    22.00   393.1881
   0.01000    22.00   272.1616

   0.00000    23.00   603.6551
   0.00167    23.00   597.4758
   0.00333    23.00   577.8542
   0.00500    23.00   541.5735
   0.00667    23.00   483.4085
   0.00833    23.00   396.3844
   0.01000    23.00   272.2088

   0.00000    24.00   615.2555
   0.00167    24.00   608.7023
   0.00333    24.00   587.9731
   0.00500    24.00   549.8989
   0.00667    24.00   489.3485
   0.00833    24.00   399.4970
   0.01000    24.00   272.2549

   0.00000    25.00   626.5983
   0.00167    25.00   619.6767
   0.00333    25.00   597.8578
   0.00500    25.00   558.0239
   0.00667    25.00   495.1399
   0.00833    25.00   402.5296
   0.01000    25.00   272.2997

   0.00000    26.00   637.6877
   0.00167    26.00   630.4035
   0.00333    26.00   607.5137
   0.00500    26.00   565.9542
   0.00667    26.00   500.7881
   0.00833    26.00   405.4854
   0.01000    26.00   272.3434

   0.00000    27.00   648.5280
   0.00167    27.00   640.8874
   0.00333    27.00   616.9461
   0.00500    27.00   573.6956
   0.00667    27.00   506.2977
   0.00833    27.00   408.3673
   0.01000    27.00   272.3860

   0.00000    28.00   659.1236
   0.00167    28.00   651.1330
   0.00333    28.00   626.1601
   0.00500    28.00   581.2533
   0.00667    28.00   511.6735
   0.00833    28.00   411.1779
   0.01000    28.00   272.4276

   0.00000    29.00   669.4791
   0.00167    29.00   661.1452
   0.00333    29.00   635.1608
   0.00500    29.00   588.6322
   0.00667    29.00   516.9194
   0.00833    29.00   413.9197
   0.01000    29.00   272.4681

   0.00000    30.00   679.5993
   0.00167    30.00   670.9286
   0.00333    30.00   643.9532
   0.00500    30.00   595.8373
   0.00667    30.00   522.0396
   0.00833    30.00   416.5948
   0.01000    30.00   272.5077

   0.00000    31.00   689.4888
   0.00167    31.00   680.4881
   0.00333    31.00   652.5420
   0.00500    31.00   602.8730
   0.00667    31.00   527.0375
   0.00833    31.00   419.2054
   0.01000    31.00   272.5463

   0.00000    32.00   699.1524
   0.00167    32.00   689.8285
   0.00333    32.00   660.9319
   0.00500    32.00   609.7436
   0.00667    32.00   531.9167
   0.00833    32.00   421.7534
   0.01000    32.00   272.5840

   0.00000    33.00   708.5947
   0.00167    33.00   698.9543
   0.00333    33.00   669.1276
   0.00500    33.00   616.4534
   0.00667    33.00   536.6804
   0.00833    33.00   424.2406
   0.01000    33.00   272.6207

   0.00000    34.00   717.8205
   0.00167    34.00   707.8703
   0.00333    34.00   677.1335
   0.00500    34.00   623.0064
   0.00667    34.00   541.3318
   0.00833    34.00   426.6688
   0.01000    34.00   272.6566

   0.00000    35.00   726.8344
   0.00167    35.00   716.5811
   0.00333    35.00   684.9541
   0.00500    35.00   629.4064
   0.00667    35.00   545.8736
   0.00833    35.00   429.0394
   0.01000    35.00   272.6917

   0.00000    36.00   735.6410
   0.00167    36.00   725.0912
   0.00333    36.00   692.5937
   0.00500    36.00   635.6573
   0.00667    36.00   550.3089
   0.00833    36.00   431.3542
   0.01000    36.00   272.7259

   0.00000    37.00   744.2449
   0.00167    37.00   733.4052
   0.00333    37.00   700.0563
   0.00500    37.00   641.7625
   0.00667    37.00   554.6404
   0.00833    37.00   433.6145
   0.01000    37.00   272.7593

   0.00000    38.00   752.6507
   0.00167    38.00   741.5274
   0.00333    38.00   707.3462
   0.00500    38.00   647.7258
   0.00667    38.00   558.8705
   0.00833    38.00   435.8218
   0.01000    38.00   272.7920

   0.00000    39.00   760.8626
   0.00167    39.00   749.4620
   0.00333    39.00   714.4672
   0.00500    39.00   653.5503
   0.00667    39.00   563.0018
   0.00833    39.00   437.9773
   0.01000    39.00   272.8238

   0.00000    40.00   768.8851
   0.00167    40.00   757.2135
   0.00333    40.00   721.4234
   0.00500    40.00   659.2395
   0.00667    40.00   567.0369
   0.00833    40.00   440.0825
   0.01000    40.00   272.8550

   0.00000    41.00   776.7223
   0.00167    41.00   764.7859
   0.00333    41.00   728.2186
   0.00500    41.00   664.7966
   0.00667    41.00   570.9779
   0.00833    41.00   442.1385
   0.01000    41.00   272.8854

   0.00000    42.00   784.3787
   0.00167    42.00   772.1833
   0.00333    42.00   734.8564
   0.00500    42.00   670.2247
   0.00667    42.00   574.8272
   0.00833    42.00   444.1466
   0.01000    42.00   272.9151

   0.00000    43.00   791.8581
   0.00167    43.00   779.4097
   0.00333    43.00   741.3405
   0.00500    43.00   675.5269
   0.00667    43.00   578.5870
   0.00833    43.00   446.1079
   0.01000    43.00   272.9441

   0.00000    44.00   799.1647
   0.00167    44.00   786.4690
   0.00333    44.00   747.6745
   0.00500    44.00   680.7060
   0.00667    44.00   582.2594
   0.00833    44.00   448.0236
   0.01000    44.00   272.9724

   0.00000    45.00   806.3024
   0.00167    45.00   793.3651
   0.00333    45.00   753.8619
   0.00500    45.00   685.7651
   0.00667    45.00   585.8465
   0.00833    45.00   449.8947
   0.01000    45.00   273.0000

   0.00000    46.00   813.2750
   0.00167    46.00   800.1016
   0.00333    46.00   759.9060
   0.00500    46.00   690.7068
   0.00667    46.00   589.3503
   0.00833    46.00   451.7223
   0.01000    46.00   273.0271

   0.00000    47.00   820.0864
   0.00167    47.00   806.6823
   0.00333    47.00   765.8101
   0.00500    47.00   695.5340
   0.00667    47.00   592.7728
   0.00833    47.00   453.5075
   0.01000    47.00   273.0535

   0.00000    48.00   826.7402
   0.00167    48.00   813.1108
   0.00333    48.00   771.5776
   0.00500    48.00   700.2494
   0.00667    48.00   596.1159
   0.00833    48.00   455.2512
   0.01000    48.00   273.0792

   0.00000    49.00   833.2402
   0.00167    49.00   819.3905
   0.00333    49.00   777.2115
   0.00500    49.00   704.8554
   0.00667    49.00   599.3815
   0.00833    49.00   456.9545
   0.01000    49.00   273.1044

   0.00000    50.00   839.5897
   0.00167    50.00   825.5249
   0.00333    50.00   782.7149
   0.00500    50.00   709.3548
   0.00667    50.00   602.5714
   0.00833    50.00   458.6183
   0.01000    50.00   273.1290

   0.00000    51.00   845.7923
   0.00167    51.00   831.5173
   0.00333    51.00   788.0910
   0.00500    51.00   713.7499
   0.00667    51.00   605.6873
   0.00833    51.00   460.2434
   0.01000    51.00   273.1531

   0.00000    52.00   851.8513
   0.00167    52.00   837.3710
   0.00333    52.00   793.3426
   0.00500    52.00   718.0431
   0.00667    52.00   608.7310
   0.00833    52.00   461.8309
   0.01000    52.00   273.1765

   0.00000    53.00   857.7702
   0.00167    53.00   843.0893
   0.00333    53.00   798.4725
   0.00500    53.00   722.2370
   0.00667    53.00   611.7042
   0.00833    53.00   463.3816
   0.01000    53.00   273.1995

   0.00000    54.00   863.5520
   0.00167    54.00   848.6751
   0.00333    54.00   803.4838
   0.00500    54.00   726.3337
   0.00667    54.00   614.6084
   0.00833    54.00   464.8964
   0.01000    54.00   273.2219

   0.00000    55.00   869.2000
   0.00167    55.00   854.1317
   0.00333    55.00   808.3789
   0.00500    55.00   730.3355
   0.00667    55.00   617.4454
   0.00833    55.00   466.3760
   0.01000    55.00   273.2437

   0.00000    56.00   874.7173
   0.00167    56.00   859.4620
   0.00333    56.00   813.1608
   0.00500    56.00   734.2446
   0.00667    56.00   620.2167
   0.00833    56.00   467.8214
   0.01000    56.00   273.2651

   0.00000    57.00   880.1069
   0.00167    57.00   864.6688
   0.00333    57.00   817.8319
   0.00500    57.00   738.0633
   0.00667    57.00   622.9238
   0.00833    57.00   469.2333
   0.01000    57.00   273.2860

   0.00000    58.00   885.3717
   0.00167    58.00   869.7552
   0.00333    58.00   822.3949
   0.00500    58.00   741.7934
   0.00667    58.00   625.5682
   0.00833    58.00   470.6124
   0.01000    58.00   273.3064

   0.00000    59.00   890.5146
   0.00167    59.00   874.7237
   0.00333    59.00   826.8522
   0.00500    59.00   745.4372
   0.00667    59.00   628.1513
   0.00833    59.00   471.9597
   0.01000    59.00   273.3263

   0.00000    60.00   895.5385
   0.00167    60.00   879.5773
   0.00333    60.00   831.2063
   0.00500    60.00   748.9966
   0.00667    60.00   630.6746
   0.00833    60.00   473.2757
   0.01000    60.00   273.3458

   0.00000    61.00   900.4461
   0.00167    61.00   884.3185
   0.00333    61.00   835.4596
   0.00500    61.00   752.4736
   0.00667    61.00   633.1394
   0.00833    61.00   474.5612
   0.01000    61.00   273.3648

   0.00000    62.00   905.2400
   0.00167    62.00   888.9499
   0.00333    62.00   839.6144
   0.00500    62.00   755.8701
   0.00667    62.00   635.5472
   0.00833    62.00   475.8170
