   1   20.000000    0.192308    0.307692   -0.076923   12.000000  -16.000000
   2    1.538462    1.250000    1.846154    1.076923    1.230769    0.923077
   3    0.769231    0.192308    1.934911    0.958580    0.461538   -0.615385
   4    0.059172    1.250000    1.994083    1.002959    0.047337    0.035503
   5    0.029586    0.192308    1.997497    0.998407    0.017751   -0.023669
   6    0.002276    0.100000    1.997679    0.998543    0.001821    0.001365
   7    0.002096    0.100000    1.997852    0.998662    0.001730    0.001183
   8    0.001934    0.100000    1.998014    0.998767    0.001620    0.001056
   9    0.001786    0.100000    1.998164    0.998863    0.001508    0.000958
  10    0.001649    0.100000    1.998304    0.998951    0.001398    0.000876
  11    0.001523    0.100000    1.998433    0.999031    0.001293    0.000805
  12    0.001407    0.100000    1.998553    0.999105    0.001196    0.000742
  13    0.001300    0.100000    1.998664    0.999174    0.001105    0.000684
  14    0.001200    0.100000    1.998766    0.999237    0.001021    0.000631
  15    0.001109    0.100000    1.998860    0.999295    0.000943    0.000583
  16    0.001024    0.100000    1.998947    0.999349    0.000871    0.000538
  17    0.000946    0.100000    1.999027    0.999399    0.000804    0.000497
  18    0.000873    0.100000    1.999102    0.999445    0.000743    0.000459
  19    0.000807    0.100000    1.999170    0.999487    0.000686    0.000424
  20    0.000745    0.100000    1.999234    0.999526    0.000634    0.000392
  21    0.000688    0.100000    1.999292    0.999563    0.000585    0.000362
  22    0.000636    0.100000    1.999346    0.999596    0.000541    0.000334
  23    0.000587    0.100000    1.999396    0.999627    0.000499    0.000309
  24    0.000542    0.100000    1.999442    0.999655    0.000461    0.000285
  25    0.000501    0.100000    1.999485    0.999682    0.000426    0.000263
  26    0.000463    0.100000    1.999524    0.999706    0.000393    0.000243
  27    0.000427    0.100000    1.999561    0.999728    0.000363    0.000225
  28    0.000395    0.100000    1.999594    0.999749    0.000336    0.000207
  29    0.000364    0.100000    1.999625    0.999768    0.000310    0.000192
  30    0.000337    0.100000    1.999654    0.999786    0.000286    0.000177
  31    0.000311    0.100000    1.999680    0.999802    0.000264    0.000163
  32    0.000287    0.100000    1.999705    0.999818    0.000244    0.000151
  33    0.000265    0.100000    1.999727    0.999831    0.000226    0.000139
  34    0.000245    0.100000    1.999748    0.999844    0.000208    0.000129
  35    0.000226    0.100000    1.999767    0.999856    0.000192    0.000119
  36    0.000209    0.100000    1.999785    0.999867    0.000178    0.000110
  37    0.000193    0.100000    1.999802    0.999877    0.000164    0.000101
  38    0.000178    0.100000    1.999817    0.999887    0.000152    0.000094
  39    0.000165    0.100000    1.999831    0.999895    0.000140    0.000087
  40    0.000152    0.100000    1.999844    0.999903    0.000129    0.000080
  41    0.000140    0.100000    1.999856    0.999911    0.000119    0.000074
  42    0.000130    0.100000    1.999867    0.999918    0.000110    0.000068
  43    0.000120    0.100000    1.999877    0.999924    0.000102    0.000063
  44    0.000111    0.100000    1.999886    0.999930    0.000094    0.000058
  45    0.000102    0.100000    1.999895    0.999935    0.000087    0.000054
